offer,brand,description,category,activated_date,expiration_date,url
$10.00 OFF,Allegra® 24hr Allergy,on any ONE (1) Allegra® 24hr Allergy 60ct or 70ct Product,Health Care > Cough/Cold Remedies > Cough/Cold: Adult,2020-04-26T00:01:00-0700,2020-05-31T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
Save $5.00,Claritin®,off any ONE (1) Claritin® Cool Mint Chewables 24 ct.,Health Care > Cough/Cold Remedies > Cough/Cold: Adult,2020-04-26T00:01:00-0700,2020-05-09T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
Save $2.00,Unisom®,on any ONE (1) Unisom® Sleep Aid Product (excl. 8ct and 16ct),Health Care > Sleeping Aids > Sleeping Aids,2020-04-26T00:01:00-0700,2020-05-09T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
Save $1.00,Cortizone-10®,on any ONE (1) Cortizone-10® Product (excludes 0.5 oz and smaller),Personal Care > First Aid Remedies > Topical Anti-Itch,2020-04-26T00:01:00-0700,2020-05-30T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
Save $5.00,Claritin®,off any ONE (1) Children's Claritin® Chewables 20ct OR ONE (1) Children's Reditab®,Health Care > Cough/Cold Remedies > Cough/Cold: Children,2020-04-26T00:01:00-0700,2020-06-30T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
Save $2.00,Renuzit®,when you purchase SIX (6) Renuzit® Adjustable Air Fresheners (7oz.),"Household > Household Cleaners/ Supplies > Air, Rug & Fabric Care",2020-04-19T00:01:00-0700,2020-05-02T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
$2.50 OFF,AVEENO®,"any ONE (1) AVEENO® Body Lotion or Anti-Itch product (excludes 2.5oz and smaller, shave and masks)",Personal Care > Skin Care > Hand & Body Lotion,2020-04-19T00:01:00-0700,2020-05-16T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
$3.00 OFF,Renuzit® Snuggle®,on any ONE (1) Renuzit® Snuggle® Oil Refill or Oil Diffuser,"Household > Household Cleaners/ Supplies > Air, Rug & Fabric Care",2020-04-19T00:01:00-0700,2020-05-02T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
$4.00 OFF,AVEENO®,"any ONE (1) AVEENO® facial moisturizer, cream or serum (excludes trial sizes)",Personal Care > Skin Care > Sunscreen,2020-04-19T00:01:00-0700,2020-05-16T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
$1.00 OFF,AVEENO®,any ONE (1) AVEENO® Body Wash product (excludes trial sizes),Personal Care > Body Wash > Body Wash,2020-04-19T00:01:00-0700,2020-05-16T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
$2.00 OFF,KIWI®,TWO Kiwi® Body Wash or Body Conditioner (excludes trial/travel size). Redeemable at Walmart,Personal Care > Body Wash > Body Wash,2020-04-26T00:01:00-0700,2020-06-08T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
SAVE $1.75,Rachael Ray™ Nutrish®,off any FIVE (5) single cups of Nutrish® Wet Cat Food,Pet Care > Cat Food > Canned,2020-04-24T00:01:00-0700,2020-06-24T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
$1.00 OFF,AVEENO®,"any ONE (1) AVEENO® Facial Cleanser or Peel Off Mask (excludes trial sizes, single use masks & Moisturizing Cleansing Bar)",Personal Care > Skin Care > Facial Care,2020-04-19T00:01:00-0700,2020-05-16T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
$3.00 OFF,AVEENO®,any ONE (1) AVEENO® Sun product (excludes trial sizes),Personal Care > Skin Care > Sunscreen,2020-04-19T00:01:00-0700,2020-05-16T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
Save $4.00,ZYRTEC®,"when you buy ONE (1) Adult ZYRTEC® product, any variety (24-45ct). Excludes trial & travel sizes",Health Care > Internal Analgesics > Internal Analygesic: Adult,2020-04-19T00:01:00-0700,2020-05-16T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
$3.00 OFF,AVEENO®,any ONE (1) AVEENO® Baby Suncare product (excludes trial sizes),Baby & Toddler > Baby Products > Baby Lotion,2020-04-19T00:01:00-0700,2020-05-16T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
$1.50 OFF,SOL by Jergens®,on ONE (1) SOL by Jergens® Product (Excludes Applicator Mitt),Personal Care > Skin Care > Hand & Body Lotion,2020-04-19T00:01:00-0700,2020-05-02T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
SAVE $1.00,KIWI®,on any ONE (1) KIWI® Sneaker Product only (includes no-tie sneaker laces),Household > Home Supplies > Shoe Polish,2020-04-19T00:01:00-0700,2020-07-12T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
SAVE 75¢,Windex®,on any ONE (1) Windex® Product,Household > Household Cleaners/ Supplies > Cleaning Supplies,2020-04-05T00:01:00-0700,2020-07-01T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
Save $1.00,Renuzit®,when you purchase TWO (2) Renuzit® Adjustable Air Fresheners (7oz.),"Household > Household Cleaners/ Supplies > Air, Rug & Fabric Care",2020-03-31T00:01:00-0700,2020-04-30T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
Save $8.00,Claritin®,on ONE (1) Claritin® Tabs or Liqui-Gels® 60ct or larger,Health Care > Cough/Cold Remedies > Cough/Cold: Adult,2020-04-05T00:01:00-0700,2020-06-30T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
Save $8.00,Claritin®,off any ONE (1) Children's Claritin® Chewables 60ct,Health Care > Cough/Cold Remedies > Cough/Cold: Children,2020-04-05T00:01:00-0700,2020-06-30T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
SAVE 75¢,Drano®,on any ONE (1) Drano® Product,Household > Household Cleaners/ Supplies > Cleaning Supplies,2020-04-12T00:01:00-0700,2020-06-14T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
SAVE 50¢ ON TWO,Nature Valley™,"when you buy TWO BOXES any flavor/variety 5 COUNT OR LARGER Nature Valley™ Granola Bars, Biscuits, Granola Cups,...",Foods > Snacks > Nutritional Snacks,2020-04-01T00:01:00-0700,2020-05-30T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
Save $3.00,Culturelle® Probiotics,on any ONE (1) Culturelle® Probiotic product,Health Care > Digestive Aids > Digestive Aids,2020-03-05T00:01:00-0800,2020-10-07T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
SAVE 55¢,OFF!®,"on any ONE (1) OFF!® Product (Excludes Club Packs, Twin Packs, 2 oz. and 2.5oz. OFF!® products)",Household > Pest Control > Pest Control,2020-04-05T00:01:00-0700,2020-07-31T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
Save $1.00,BENADRYL®,"when you buy ONE (1) Adult BENADRYL® product, any variety. Excludes trial & travel sizes",Health Care > Cough/Cold Remedies > Cough/Cold: Adult,2020-04-05T00:01:00-0700,2020-05-16T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
SAVE 75¢,OFF! Botanicals®,on any ONE (1) OFF! Botanicals® product (Excludes 2 oz. OFF! Botanicals® spritz),Household > Pest Control > Pest Control,2020-04-05T00:01:00-0700,2020-07-31T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
Save $2.50,FLONASE,on ONE (1) FLONASE or CHILDREN’S FLONASE Brand Product 60ct or larger,Health Care > Cough/Cold Remedies > Cough/Cold: Adult,2020-04-05T00:01:00-0700,2020-05-30T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
Save $5.00,Allergy Value Pack,on ONE (1) Allergy Value Pack (Allegra®/Nasacort® or Xyzal®/Nasacort®) Available at Walmart,Health Care > Cough/Cold Remedies > Cough/Cold: Adult,2020-04-11T00:01:00-0700,2020-05-16T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
Save $4.50,FLONASE,on ONE (1) FLONASE Brand Product 120 ct. or larger,Health Care > Cough/Cold Remedies > Cough/Cold: Adult,2020-04-05T00:01:00-0700,2020-05-30T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
SAVE $9.00,BodyMark™ by BIC® Tattoo Marker,on the purchase of ONE (1) BodyMark™ 6-pk AND ONE (1) BodyMark™ 2-pk (Redeemable at Walmart),Household > Office/School Supplies > Pens/Pencils/Markers,2020-04-22T00:01:00-0700,2020-06-07T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
SAVE 55¢,Raid®,on any ONE (1) Raid® Product (Excludes Raid® Club Packs and Twin Packs) - Available at Walmart,Household > Pest Control > Pest Control,2020-04-01T00:01:00-0700,2020-07-31T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
$0.65 Off,Oikos Blue,Any ONE (1) Oikos Blue Greek Yogurt cup (Excluding Oikos Triple Zero),Foods > Dairy > Yogurt,2020-04-13T00:01:00-0700,2020-06-30T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
,,,,,,
$2.00 OFF,IVORY®,TWO Ivory® Moisturizing 17.9oz Body Wash or Ivory Deodorant (excludes trial/travel size). Redeemable at Walmart,Personal Care > Body Wash > Body Wash,2020-04-19T00:01:00-0700,2020-06-01T23:59:00-0700,https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89
